marca,modelo,precio_crc,precio_usd,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,impuestos_pagados,precio_negociable,recibe_vehiculo,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado
Nissan,SUNNY,850000,1710,1500,Sedán,5,Gasolina,Manual,Bueno,,GRIS,GRIS,4,SI,SI,NO,Alajuela,36,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Volkswagen,GOLF,900000,1811,1800,Hatchback,5,Gasolina,Manual,Excelente,350,BLANCO,GRIS,5,SI,SI,NO,San José,36,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271
Nissan,SENTRA B12,975000,1962,1600,Sedán,5,Gasolina,Manual,Muy Bueno,29000,AZUL,NEGRO,4,SI,NO,NO,Alajuela,39,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Hyundai,PONY,1000000,2012,1300,Pick Up 2WD,2,Gasolina,Manual,Bueno,111111,AZUL,NEGRO,2,SI,SI,SI,San José,47,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Mercedes,Benz 260E,1000000,2012,2600,Sedán,5,Gasolina,Manual,Bueno,116294,ARENA,MARRÓN,4,SI,SI,NO,San José,38,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.025356988316746
Hyundai,STELLAR,1000000,2012,1600,Sedán,5,Gasolina,Automática/Dual,Excelente,177500,GRIS,GRIS CLARO,5,SI,SI,NO,Heredia,39,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Chevrolet,NOVA,1100000,2213,1600,Sedán,5,Gasolina,Manual,Bueno,251500,NEGRO,GRIS,5,SI,NO,NO,San José,38,CHEVROLET,USA,GENERALISTA,0.0449156209433146
Toyota,COROLLA,1100000,2213,1500,Sedán,5,Gasolina,Manual,Muy Bueno,542518,VERDE,NEGRO,4,SI,SI,NO,San José,36,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Mazda,MPV,1150000,2314,3000,Microbús/Minivan,7,Gasolina,Automática/Dual,Regular,275096,GRIS,AZUL,4,SI,SI,NO,Heredia,37,MAZDA,JAPON,GENERALISTA,0.0108178277801817
Nissan,VANETTE,1200000,2414,1200,Microbús/Minivan,9,Gasolina,Manual,Bueno,76982,VERDE,VERDE,5,SI,SI,NO,San José,42,NISSAN,JAPON,GENERALISTA,0.0888792730419732
