marca,modelo,precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc,cluster
Volkswagen,GOLF,900000,1800.0,Hatchback,5.0,Gasolina,Manual,Excelente,350.0,BLANCO,GRIS,5,San José,36.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,2.0,Muy_usados_kilometreados
Nissan,SENTRA B12,975000,1600.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,29000.0,AZUL,NEGRO,4,Alajuela,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Hyundai,PONY,1000000,1300.0,Pick Up 2WD,2.0,Gasolina,Manual,Bueno,111111.0,AZUL,NEGRO,2,San José,47.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0,Muy_usados_kilometreados
Mercedes,Benz 260E,1000000,2600.0,Sedán,5.0,Gasolina,Manual,Bueno,116294.0,ARENA,MARRÓN,4,San José,38.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0,Muy_usados_kilometreados
Hyundai,STELLAR,1000000,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,177500.0,GRIS,GRIS CLARO,5,Heredia,39.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0,Muy_usados_kilometreados
Chevrolet,NOVA,1100000,1600.0,Sedán,5.0,Gasolina,Manual,Bueno,251500.0,NEGRO,GRIS,5,San José,38.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Toyota,COROLLA,1100000,1500.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,542518.0,VERDE,NEGRO,4,San José,36.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Mazda,MPV,1150000,3000.0,Microbús/Minivan,7.0,Gasolina,Automática/Dual,Regular,275096.0,GRIS,AZUL,4,Heredia,37.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0,Muy_usados_kilometreados
Nissan,VANETTE,1200000,1200.0,Microbús/Minivan,9.0,Gasolina,Manual,Bueno,76982.0,VERDE,VERDE,5,San José,42.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Nissan,SENTRA B12,1300000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,80000.0,BLANCO,GRIS,2,San José,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Subaru,LEONI,1350000,1600.0,Sedán,5.0,Gasolina,Manual,Excelente,320163.0,GRIS,GRIS,4,Cartago,46.0,SUBARU,JAPON,DESCONOCIDO,0.003634790134141,2.0,Muy_usados_kilometreados
Isuzu,AMIGO,1400000,2300.0,SUV 2WD,4.0,Gasolina,Manual,Muy Bueno,175000.0,AZUL,GRIS,2,Alajuela,36.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0,Muy_usados_kilometreados
Toyota,COROLLA,1500000,1300.0,Station Wagon,5.0,Gasolina,Manual,Bueno,364000.0,CELESTE,GRIS,4,Heredia,38.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI JX,1500000,1324.0,Sedán,5.0,Gasolina,Manual,Regular,100000.0,GRIS,GRIS,3,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,2250000,1324.0,SUV 2WD,5.0,Gasolina,Manual,Bueno,98000.0,NARANJA,GRIS,3,Guanacaste,37.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Nissan,VANETTE,1500000,1200.0,Microbús/Minivan,9.0,Gasolina,Manual,Regular,230924.0,BLANCO,BLANCO,5,Puntarenas,40.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Isuzu,AMIGO,1550000,2600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,327372.0,ROJO,NEGRO,3,Alajuela,37.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0,Muy_usados_kilometreados
Honda,CIVIC LX,1600000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,213000.0,VINO,NEGRO,4,San José,38.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0,Muy_usados_kilometreados
Nissan,SENTRA RZ1,1700000,1600.0,Hatchback,4.0,Gasolina,Manual,Muy Bueno,404749.0,ROJO,NEGRO,3,San José,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Datsun,120Y,1800000,1200.0,Sedán,5.0,Gasolina,Manual,Bueno,70000.0,AZUL,NEGRO,4,San José,51.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0,Muy_usados_kilometreados
Oldsmobile,CUTLASS CIERA,1875000,2800.0,Sedán,5.0,Gasolina,Automática/Dual,Bueno,284570.0,BLANCO,GRIS/VINO,4,San José,37.0,OLDSMOBILE,DESCONOCIDO,DESCONOCIDO,8.654262224145392e-05,2.0,Muy_usados_kilometreados
Mercedes,Benz 190D,2000000,25000.0,Sedán,5.0,Diesel,Automática/Dual,Muy Bueno,45062.0,GRIS,NEGRO,4,Alajuela,38.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0,Premium
Daihatsu,ROCKY,2000000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,27000.0,GRIS,AZUL,3,San José,36.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,2.0,Muy_usados_kilometreados
Suzuki,SAMURAI,2200000,1300.0,SUV 4WD/AWD,4.0,Gasolina,Manual,Muy Bueno,400000.0,GRIS,GRIS,2,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0,Muy_usados_kilometreados
Chevrolet,CAPRICE CLASIC,2300000,5000.0,Pánel,5.0,Gasolina,Automática/Dual,Excelente,167728.0,GRIS,VINO,5,San José,41.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0,Muy_usados_kilometreados
Daihatsu,ROCKY,2400000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,305775.0,GRIS OSCURO,NEGRO,3,Heredia,36.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,2.0,Muy_usados_kilometreados
