precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc
900000,1800.0,Hatchback,5.0,Gasolina,Manual,Excelente,350.0,BLANCO,GRIS,5,San José,36.0,VOLKSWAGEN,ALEMANIA,DESCONOCIDO,0.0194720900043271,2.0
975000,1600.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,29000.0,AZUL,NEGRO,4,Alajuela,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
1000000,1300.0,Pick Up 2WD,2.0,Gasolina,Manual,Bueno,111111.0,AZUL,NEGRO,2,San José,47.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
1000000,2600.0,Sedán,5.0,Gasolina,Manual,Bueno,116294.0,ARENA,MARRÓN,4,San José,38.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,2.0
1000000,1600.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,177500.0,GRIS,GRIS CLARO,5,Heredia,39.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
1100000,1600.0,Sedán,5.0,Gasolina,Manual,Bueno,251500.0,NEGRO,GRIS,5,San José,38.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0
1100000,1500.0,Sedán,5.0,Gasolina,Manual,Muy Bueno,542518.0,VERDE,NEGRO,4,San José,36.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
1150000,3000.0,Microbús/Minivan,7.0,Gasolina,Automática/Dual,Regular,275096.0,GRIS,AZUL,4,Heredia,37.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0
1200000,1200.0,Microbús/Minivan,9.0,Gasolina,Manual,Bueno,76982.0,VERDE,VERDE,5,San José,42.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
1300000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,80000.0,BLANCO,GRIS,2,San José,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
1350000,1600.0,Sedán,5.0,Gasolina,Manual,Excelente,320163.0,GRIS,GRIS,4,Cartago,46.0,SUBARU,JAPON,DESCONOCIDO,0.003634790134141,2.0
1400000,2300.0,SUV 2WD,4.0,Gasolina,Manual,Muy Bueno,175000.0,AZUL,GRIS,2,Alajuela,36.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0
1500000,1300.0,Station Wagon,5.0,Gasolina,Manual,Bueno,364000.0,CELESTE,GRIS,4,Heredia,38.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
1500000,1324.0,Sedán,5.0,Gasolina,Manual,Regular,100000.0,GRIS,GRIS,3,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
2250000,1324.0,SUV 2WD,5.0,Gasolina,Manual,Bueno,98000.0,NARANJA,GRIS,3,Guanacaste,37.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
1500000,1200.0,Microbús/Minivan,9.0,Gasolina,Manual,Regular,230924.0,BLANCO,BLANCO,5,Puntarenas,40.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
1550000,2600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,327372.0,ROJO,NEGRO,3,Alajuela,37.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,2.0
1600000,1500.0,Sedán,5.0,Gasolina,Manual,Excelente,213000.0,VINO,NEGRO,4,San José,38.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0
1700000,1600.0,Hatchback,4.0,Gasolina,Manual,Muy Bueno,404749.0,ROJO,NEGRO,3,San José,39.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
1800000,1200.0,Sedán,5.0,Gasolina,Manual,Bueno,70000.0,AZUL,NEGRO,4,San José,51.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0
1875000,2800.0,Sedán,5.0,Gasolina,Automática/Dual,Bueno,284570.0,BLANCO,GRIS/VINO,4,San José,37.0,OLDSMOBILE,DESCONOCIDO,DESCONOCIDO,8.654262224145392e-05,2.0
2000000,25000.0,Sedán,5.0,Diesel,Automática/Dual,Muy Bueno,45062.0,GRIS,NEGRO,4,Alajuela,38.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0
2000000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,27000.0,GRIS,AZUL,3,San José,36.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,2.0
2200000,1300.0,SUV 4WD/AWD,4.0,Gasolina,Manual,Muy Bueno,400000.0,GRIS,GRIS,2,Alajuela,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
2300000,5000.0,Pánel,5.0,Gasolina,Automática/Dual,Excelente,167728.0,GRIS,VINO,5,San José,41.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,2.0
2400000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,305775.0,GRIS OSCURO,NEGRO,3,Heredia,36.0,DAIHATSU,DESCONOCIDO,DESCONOCIDO,0.0072695802682821,2.0
2400000,2200.0,Pick Up 2WD,3.0,Diesel,Manual,Muy Bueno,100.0,BEIGE,NEGRO,2,Heredia,46.0,DATSUN,DESCONOCIDO,DESCONOCIDO,0.0004327131112072,2.0
2500000,1300.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Muy Bueno,135000.0,VERDE,GRIS,2,Guanacaste,39.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
